0.73	0.97	0.91	1.04
0.71	0.99	1.09	1.05
0.8	0.99	1.19	1.21
0.81	0.93	1.02	1.02
0.58	0.93	1.03	0.97
0.46	0.72	0.76	0.73
0.67	0.82	0.85	0.75
0.79	0.71	0.75	0.96
0.87	0.76	0.85	1.09
0.37	0.57	0.56	0.51
0.35	0.78	0.85	0.72
0.7	0.81	0.78	0.9
0.33	0.81	0.83	0.68
0.62	0.9	0.84	0.72
0.25	0.63	0.6	0.48
0.32	0.9	0.83	0.65
0.6	0.91	0.86	0.78
0.26	0.7	0.6	0.5
0.36	0.78	0.71	0.58
0.82	0.92	0.71	0.89
0.31	0.57	0.49	0.44
0.36	0.59	0.56	0.54
0.77	0.89	0.83	0.86
0.7	0.89	0.84	0.92
0.86	1.03	1	1.12
0.82	0.92	0.9	0.86
0.65	0.91	0.98	0.95
0.45	0.63	0.62	0.64
0.62	0.87	0.93	0.89
0.76	0.64	0.58	0.63
0.84	0.75	0.8	0.88
0.41	0.61	0.6	0.58
0.58	0.9	0.99	0.82
0.69	0.8	0.83	0.86
0.42	0.92	0.85	0.71
0.58	0.77	0.74	0.73
0.41	0.69	0.6	0.53
0.3	0.9	0.73	0.57
0.5	0.85	0.66	0.64
0.28	0.69	0.54	0.42
0.28	0.94	0.76	0.51
0.63	0.84	0.74	0.63
0.24	0.63	0.43	0.38
0.62	0.77	0.68	0.65
